사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022081600100253,2022년 8월 16일 13시,화요일,전라북도 전주시 완산구 전동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,74세,상해없음,승합,여,56세,경상
2022081600100292,2022년 8월 16일 14시,화요일,전라북도 전주시 덕진구 호성동2가,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,57세,상해없음,승용,여,46세,경상
2022081600100397,2022년 8월 16일 17시,화요일,전라북도 전주시 덕진구 덕진동2가,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 젖음/습기,흐림,기타 - 기타,화물,남,70세,상해없음,보행자,여,86세,경상
2022081600100532,2022년 8월 16일 21시,화요일,전라북도 전주시 완산구 평화동1가,경상사고,0,0,1,0,차대차 - 정면충돌,중앙선침범,포장 - 젖음/습기,비,교차로 - 교차로안,승용,여,63세,기타불명,승용,여,54세,경상
2022081600100571,2022년 8월 16일 23시,화요일,전라북도 전주시 덕진구 덕진동2가,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,65세,상해없음,승용,남,57세,경상
2022081700100273,2022년 8월 17일 13시,수요일,전라북도 전주시 덕진구 우아동3가,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,54세,상해없음,보행자,여,38세,경상
2022081700100633,2022년 8월 17일 23시,수요일,전라북도 전주시 완산구 효자동1가,경상사고,0,0,4,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,69세,상해없음,보행자,남,37세,경상
2022081800100048,2022년 8월 18일 06시,목요일,전라북도 전주시 덕진구 덕진동1가,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,포장 - 건조,흐림,교차로 - 교차로안,화물,남,57세,상해없음,승용,여,54세,경상
2022081800100268,2022년 8월 18일 13시,목요일,전라북도 전주시 완산구 삼천동1가,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,26세,상해없음,자전거,남,62세,경상
2022081800100401,2022년 8월 18일 17시,목요일,전라북도 전주시 덕진구 우아동3가,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,58세,상해없음,승용,남,71세,경상
2022081800100445,2022년 8월 18일 18시,목요일,전라북도 전주시 완산구 효자동1가,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,63세,상해없음,이륜,남,45세,중상
2022081800100490,2022년 8월 18일 19시,목요일,전라북도 전주시 완산구 효자동2가,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,남,45세,경상
2022081800100491,2022년 8월 18일 19시,목요일,전라북도 전주시 완산구 중화산동2가,경상사고,0,0,1,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,교차로 - 교차로안,승용,남,24세,상해없음,승용,여,32세,경상
2022081800100492,2022년 8월 18일 19시,목요일,전라북도 전주시 완산구 효자동3가,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,36세,상해없음,이륜,남,40세,경상
2022081800100557,2022년 8월 18일 22시,목요일,전라북도 전주시 덕진구 금암동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,75세,상해없음,승용,여,31세,경상
2022081900100098,2022년 8월 19일 08시,금요일,전라북도 전주시 완산구 효자동3가,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,22세,상해없음,보행자,여,25세,중상
2022081900100339,2022년 8월 19일 15시,금요일,전라북도 전주시 덕진구 금암동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,42세,상해없음,승용,남,69세,경상
2022081900100415,2022년 8월 19일 17시,금요일,전라북도 전주시 완산구 효자동1가,중상사고,0,1,0,0,차대사람 - 기타,기타,포장 - 건조,맑음,기타 - 기타,승용,여,73세,상해없음,보행자,남,56세,중상
2022081900100417,2022년 8월 19일 17시,금요일,전라북도 전주시 덕진구 중동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,48세,상해없음,승용,여,28세,경상
2022081900100514,2022년 8월 19일 19시,금요일,전라북도 전주시 덕진구 성덕동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,여,46세,경상
2022081900100549,2022년 8월 19일 20시,금요일,전라북도 전주시 완산구 중노송동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,51세,상해없음,보행자,남,34세,중상
2022082000100008,2022년 8월 20일 00시,토요일,전라북도 전주시 완산구 평화동1가,중상사고,0,2,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,27세,중상,이륜,남,44세,중상
2022082100100106,2022년 8월 21일 10시,일요일,전라북도 전주시 완산구 중노송동,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,62세,상해없음,승용,남,68세,중상
2022082100100107,2022년 8월 21일 10시,일요일,전라북도 전주시 완산구 평화동2가,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,52세,상해없음,보행자,여,79세,경상
2022082200100037,2022년 8월 22일 06시,월요일,전라북도 전주시 완산구 서신동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,36세,상해없음,승용,남,53세,경상
2022082200100061,2022년 8월 22일 07시,월요일,전라북도 전주시 덕진구 팔복동3가,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,50세,상해없음,승용,남,60세,상해없음
2022082200100102,2022년 8월 22일 08시,월요일,전라북도 전주시 덕진구 진북동,경상사고,0,0,3,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,62세,상해없음,승용,남,46세,경상
2022082200100145,2022년 8월 22일 09시,월요일,전라북도 전주시 완산구 효자동1가,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,36세,상해없음,자전거,남,66세,경상
2022082200100146,2022년 8월 22일 09시,월요일,전라북도 전주시 덕진구 진북동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,39세,상해없음,승용,남,70세,경상
2022082200100238,2022년 8월 22일 12시,월요일,전라북도 전주시 완산구 중노송동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,49세,상해없음,이륜,남,62세,경상
